Тест кейсы,
,
ID ,TC_QT_1
Create date,13.09.2022
Author,Ирина Михайловская
Title,Состояние приложения после успешной отправки формы регистрации
Description,"Preconditions: 
Открыт сайт https://qatest.606ep.ru
доступен модуль регистрации ""Начать работу в Системе"""
Steps,"1. Ввести данные в поле ""Логин"" (Vekriona)
2. Ввести данные в поле ""Пароль"" (qwerty1)
3. Нажать на кнопку ""Войти"""
Expected results,"Пользователь зарегестрирован (сообщение об успешной или неуспешной регистрации, переход в личный кабинет и т.д. В зависимости от требований)"
Priority,Высокий (High)
,
ID ,TC_QT_2
Create date,13.09.2022
Author,Ирина Михайловская
Title,"Добавление данных в профиле пользователя ""С возвращением в систему"""
Description,"В зависимости от того, как это должно быть реализовано в соответствии с уточнёнными требованиями.
Preconditions:
Открыт сайт https://qatest.606ep.ru
Перейти на модуль профиля пользователя ""С возвращением в Систему"". Для этого необходимо выполнить:
1. В модуле регистрации ""Начать работу в системе"" ввести данные в поле ""Логин"" (qwerty)
2. В модуле регистрации ""Начать работу в системе"" ввести данные в поле ""Пароль"" (qwerty)
3. Нажать на кнопку Enter на клавиатуре
4. Модуль профиля пользователя ""С возвращением в систему"" доступен"
Steps,"1. Ввести данные в поле ""Фамилия"" (Михайловская)
2. Ввести данные в поле ""Имя"" (Ирина)
3. Ввести данные в поле ""Отчество"" (Константиновна)
4. Ввести данные в поле ""Email"" (vekriona@yandex.ru)
5. Нажать на кнопку ""Отправить"""
Expected results,"Данные пользователя отправлены (сообщение об успешной или неуспешной отправки данных, переход в личный кабинет и т.д. В зависимости от требований)"
Priority,Высокий (High)
,
ID ,TC_QT_3
Create date,13.09.2022
Author,Ирина Михайловская
Title,Сообщение об обязательности поля
Description,"Preconditions: 
Открыт сайт https://qatest.606ep.ru
доступен модуль регистрации ""Начать работу в Системе"""
Steps,"1. Ввести любые символы в поле ""Логин""
2. Поле ""Пароль"" оставить пустым
3. Нажать на кнопку ""Войти"""
Expected results,Появляется сообщение об обязательности поля (см.комментарий)
Priority,Высокий (High)
Комментарии,"В зависимости от того является ли поле обязательным для заполнения и от того, как в соответствии с требованиями должна реагировать система на ввод пустых значений в обязательных полях будет зависеть ожидаемый результат"
,
ID ,TC_QT_4
Create date,13.09.2022
Author,Ирина Михайловская
Title,Проверка уникальности логина
Description,"Preconditions: 
Открыт сайт https://qatest.606ep.ru
Есть зарегистрированный пользователь с логином Vekriona"
Steps,"1. Ввести Vekriona в поле ""Логин""
2. Ввести любые символы в поле ""Пароль""
3. Нажать на кнопку ""Войти"""
Expected results,"Уведомление об ошибке, что пользователь с таким логином уже зарегистрирован"
Priority,"Высокий (High)"
Комментарии,"При условии, что в требованиях описано, что логин должен быть уникальным и описано какая ошибка должна возвращаться при таком сценарии. "
,
ID ,TC_QT_5
Create date,13.09.2022
Author,Ирина Михайловская
Title,Наличие документа содержащее пользовательское соглашение по ссылке
Description,Открыт сайт https://qatest.606ep.ru
Steps,"1. Нажать на ссылку ""Пользовательское соглашение"" в блоке Оферты внизу модуля регистрации ""Начать работу в системе"""
Expected results,"Открывается страница которая содержит текст пользовательского соглашения или скачивается файл, который содержит пользовательское соглашение (зависит от требований, которые нужно уточнить у аналитика)"
Priority,"Высокий (High)"
